file	merge_min	min_ttr	merge_max	max_ttr	initial_ttr	final_ttr
aey-x-bible.txt.clean.txt.measures.txt	0.0	0.00045594863477019443	4000.0	0.09382806515005163	0.00045594863477019443	0.09382806515005163
amp-x-bible.txt.clean.txt.measures.txt	0.0	0.0003663808895727999	5000.0	0.12025064084306465	0.0003663808895727999	0.12025064084306465
ape-x-bible.txt.clean.txt.measures.txt	0.0	0.0003009087444081125	5000.0	0.087734306202038	0.0003009087444081125	0.087734306202038
apu-x-bible.txt.clean.txt.measures.txt	0.0	0.00022184192178487672	4000.0	0.13090995485863627	0.00022184192178487672	0.13090995485863627
arn-x-bible.txt.clean.txt.measures.txt	0.0	0.0003547961341413224	4000.0	0.08774269081921364	0.0003547961341413224	0.08774269081921364
arz-x-bible.txt.clean.txt.measures.txt	0.0	0.0004910676488019643	5000.0	0.19685001675523003	0.0004910676488019643	0.19685001675523003
bsn-x-bible.txt.clean.txt.measures.txt	0.0	0.0003577610471876299	5000.0	0.09705898137712661	0.0003577610471876299	0.09705898137712661
cha-x-bible-2003.txt.clean.txt.measures.txt	0.0	0.0004409395404053252	4000.0	0.10130121518442843	0.0004409395404053252	0.10130121518442843
deu-x-bible-neue.txt.clean.txt.measures.txt	0.0	0.0004833047872611033	4000.0	0.1057632569528195	0.0004833047872611033	0.1057632569528195
dgz-x-bible.txt.clean.txt.measures.txt	0.0	0.00034365801544966905	3000.0	0.07332126930782654	0.00034365801544966905	0.07332126930782654
ell-x-bible-modern2009.txt.clean.txt.measures.txt	0.0	0.00041380832398433046	4000.0	0.12228417611997693	0.00041380832398433046	0.12228417611997693
eng-x-bible-kingjames.txt.clean.txt.measures.txt	0.0	0.0004596364182128586	3000.0	0.07334075963922528	0.0004596364182128586	0.07334075963922528
eus-x-bible-batua.txt.clean.txt.measures.txt	0.0	0.00035192847291577495	4000.0	0.15972022611861647	0.00035192847291577495	0.15972022611861647
fij-x-bible-1974.txt.clean.txt.measures.txt	0.0	0.000255680365452469	2000.0	0.04199904750565543	0.000255680365452469	0.04199904750565543
fin-x-bible-1992.txt.clean.txt.measures.txt	0.0	0.00038356555402922234	5000.0	0.17333096117066227	0.00038356555402922234	0.17333096117066227
fra-x-bible-perret.txt.clean.txt.measures.txt	0.0	0.0006087716047748869	4000.0	0.10548836551382701	0.0006087716047748869	0.10548836551382701
gug-x-bible.txt.clean.txt.measures.txt	0.0	0.0007825374467184062	4000.0	0.12762290490757897	0.0007825374467184062	0.12762290490757897
hae-x-bible.txt.clean.txt.measures.txt	0.0	0.00035059105078235155	4000.0	0.126780294186318	0.00035059105078235155	0.126780294186318
hau-x-bible.txt.clean.txt.measures.txt	0.0	0.0005033082028751482	3000.0	0.07852545793823071	0.0005033082028751482	0.07852545793823071
hin-x-bible-bsi.txt.clean.txt.measures.txt	0.0	0.0011583306924850564	3000.0	0.07397559146383037	0.0011583306924850564	0.07397559146383037
ind-x-bible-suciinjil.txt.clean.txt.measures.txt	0.0	0.0003062350888437845	4000.0	0.10175130009177119	0.0003062350888437845	0.10175130009177119
jac-x-bible.txt.clean.txt.measures.txt	0.0	0.00034572507680967506	4000.0	0.08179581795817958	0.00034572507680967506	0.08179581795817958
kal-x-bible.txt.clean.txt.measures.txt	0.0	0.0004116021403311297	6000.0	0.2387504046617028	0.0004116021403311297	0.2387504046617028
kat-x-bible.txt.clean.txt.measures.txt	0.0	0.0006134610890394952	5000.0	0.1591060855629257	0.0006134610890394952	0.1591060855629257
kew-x-bible.txt.clean.txt.measures.txt	0.0	0.00036771597906181953	3000.0	0.07756223516949153	0.00036771597906181953	0.07756223516949153
khk-x-bible.txt.clean.txt.measures.txt	0.0	0.0004160323748829909	4000.0	0.14430272108843537	0.0004160323748829909	0.14430272108843537
kor-x-bible-revised.txt.clean.txt.measures.txt	0.0	0.022874553764296597	4000.0	0.18866358969040087	0.022874553764296597	0.18866358969040087
laj-x-bible.txt.clean.txt.measures.txt	0.0	0.0004903358230229774	3000.0	0.08250332674704625	0.0004903358230229774	0.08250332674704625
mig-x-bible.txt.clean.txt.measures.txt	0.0	0.0004485109436670255	4000.0	0.10050949513663733	0.0004485109436670255	0.10050949513663733
mya-x-bible-common.txt.clean.txt.measures.txt	0.0	0.0005343515410594687	7000.0	0.21328054705776497	0.0005343515410594687	0.21328054705776497
mzh-x-bible.txt.clean.txt.measures.txt	0.0	0.00045907358949639625	4000.0	0.09594628740569613	0.00045907358949639625	0.09594628740569613
naq-x-bible.txt.clean.txt.measures.txt	0.0	0.0005695173599246167	3000.0	0.09181775070222158	0.0005695173599246167	0.09181775070222158
pes-x-bible-2007.txt.clean.txt.measures.txt	0.0	0.0008792271593269516	4000.0	0.10600508525276697	0.0008792271593269516	0.10600508525276697
plt-x-bible-romancatholic.txt.clean.txt.measures.txt	0.0	0.00032607605096819506	4000.0	0.101373701210258	0.00032607605096819506	0.101373701210258
qvi-x-bible.txt.clean.txt.measures.txt	0.0	0.00030934744874284634	4000.0	0.133031953943047	0.00030934744874284634	0.133031953943047
rus-x-bible-kulakov.txt.clean.txt.measures.txt	0.0	0.0007088945415120304	5000.0	0.1436793093801207	0.0007088945415120304	0.1436793093801207
sag-x-bible.txt.clean.txt.measures.txt	0.0	0.00046097240032519506	2000.0	0.024035929139752155	0.00046097240032519506	0.024035929139752155
spa-x-bible-reinavaleracontemporanea.txt.clean.txt.measures.txt	0.0	0.0005225156754702641	4000.0	0.09973065712282773	0.0005225156754702641	0.09973065712282773
