file	merge_min	min_entropy	merge_max	max_entropy	initial_entropy	final_entropy
aey-x-bible.txt.clean.txt.measures.txt	0.0	4.603249295558127	3000.0	9.275111486867148	4.603249295558127	9.274909419363066
amp-x-bible.txt.clean.txt.measures.txt	0.0	4.658089533845558	5000.0	10.09217532169609	4.658089533845558	10.09217532169609
ape-x-bible.txt.clean.txt.measures.txt	0.0	4.548276465557102	3000.0	9.20540211818361	4.548276465557102	9.196135062691468
apu-x-bible.txt.clean.txt.measures.txt	0.0	4.014449045714273	4000.0	9.791225399104112	4.014449045714273	9.791225399104112
arn-x-bible.txt.clean.txt.measures.txt	0.0	4.800351751313336	3000.0	8.687224757041687	4.800351751313336	8.682361526670757
arz-x-bible.txt.clean.txt.measures.txt	0.0	4.863989008912507	5000.0	10.851441450564089	4.863989008912507	10.851441450564089
bsn-x-bible.txt.clean.txt.measures.txt	0.0	4.78330748698972	3000.0	9.134303115670033	4.78330748698972	9.130727198982608
cha-x-bible-2003.txt.clean.txt.measures.txt	0.0	4.73212056270015	3000.0	8.864986506466135	4.73212056270015	8.850395974695545
deu-x-bible-neue.txt.clean.txt.measures.txt	0.0	4.751885101115926	3000.0	9.42574964307236	4.751885101115926	9.423723323650835
dgz-x-bible.txt.clean.txt.measures.txt	0.0	4.319156972204873	3000.0	9.099528847096032	4.319156972204873	9.099528847096032
ell-x-bible-modern2009.txt.clean.txt.measures.txt	0.0	4.596544716203266	4000.0	9.387856214982916	4.596544716203266	9.387856214982916
eng-x-bible-kingjames.txt.clean.txt.measures.txt	0.0	4.776701087114576	2000.0	8.439546718013345	4.776701087114576	8.376184147895929
eus-x-bible-batua.txt.clean.txt.measures.txt	0.0	4.420236296304452	4000.0	10.21439887901446	4.420236296304452	10.21439887901446
fij-x-bible-1974.txt.clean.txt.measures.txt	0.0	4.2714164975363875	1000.0	7.3321294163288515	4.2714164975363875	7.259164733044718
fin-x-bible-1992.txt.clean.txt.measures.txt	0.0	4.481167320293775	5000.0	10.48489518969468	4.481167320293775	10.48489518969468
fra-x-bible-perret.txt.clean.txt.measures.txt	0.0	4.835936138044709	3000.0	9.176072703019884	4.835936138044709	9.169869790025878
gug-x-bible.txt.clean.txt.measures.txt	0.0	4.95843931651998	4000.0	9.552146052437184	4.95843931651998	9.552146052437184
hae-x-bible.txt.clean.txt.measures.txt	0.0	4.5215074262948365	4000.0	10.051048985153573	4.5215074262948365	10.051048985153573
hau-x-bible.txt.clean.txt.measures.txt	0.0	4.510632283683992	2000.0	8.548950059987407	4.510632283683992	8.545678128727584
hin-x-bible-bsi.txt.clean.txt.measures.txt	0.0	5.661295917844301	2000.0	8.722600239333431	5.661295917844301	8.699520102608535
ind-x-bible-suciinjil.txt.clean.txt.measures.txt	0.0	4.512688074611509	3000.0	9.201118823163867	4.512688074611509	9.182080650403412
jac-x-bible.txt.clean.txt.measures.txt	0.0	4.795017842170621	2000.0	8.691157174562138	4.795017842170621	8.665095442444823
kal-x-bible.txt.clean.txt.measures.txt	0.0	4.1098522502543275	6000.0	11.407447227424099	4.1098522502543275	11.407447227424099
kat-x-bible.txt.clean.txt.measures.txt	0.0	4.8370730560369495	5000.0	9.78800859118497	4.8370730560369495	9.78800859118497
kew-x-bible.txt.clean.txt.measures.txt	0.0	4.2737997309477676	3000.0	9.161910273851479	4.2737997309477676	9.161910273851479
khk-x-bible.txt.clean.txt.measures.txt	0.0	4.690457408050325	4000.0	10.239220736676035	4.690457408050325	10.239220736676035
kor-x-bible-revised.txt.clean.txt.measures.txt	0.0	7.771014166646386	4000.0	10.784926076124622	7.771014166646386	10.784926076124622
laj-x-bible.txt.clean.txt.measures.txt	0.0	4.721893246900461	3000.0	8.843887837821248	4.721893246900461	8.843887837821248
mig-x-bible.txt.clean.txt.measures.txt	0.0	4.989808965944332	3000.0	8.952057991637885	4.989808965944332	8.947416671532475
mya-x-bible-common.txt.clean.txt.measures.txt	0.0	4.765164312074918	7000.0	11.084737376427158	4.765164312074918	11.084737376427158
mzh-x-bible.txt.clean.txt.measures.txt	0.0	4.783676765397077	2000.0	8.595012007727737	4.783676765397077	8.533244444188101
naq-x-bible.txt.clean.txt.measures.txt	0.0	5.088773983872322	3000.0	8.677816363442389	5.088773983872322	8.677816363442389
pes-x-bible-2007.txt.clean.txt.measures.txt	0.0	5.076981812994999	4000.0	9.252575712916345	5.076981812994999	9.252575712916345
plt-x-bible-romancatholic.txt.clean.txt.measures.txt	0.0	4.147575714512982	4000.0	9.02988349502122	4.147575714512982	9.02988349502122
qvi-x-bible.txt.clean.txt.measures.txt	0.0	4.196014941536557	4000.0	10.268142559325248	4.196014941536557	10.268142559325248
rus-x-bible-kulakov.txt.clean.txt.measures.txt	0.0	5.098827640233748	5000.0	10.002324454930749	5.098827640233748	10.002324454930749
sag-x-bible.txt.clean.txt.measures.txt	0.0	4.525466774067285	1000.0	6.7973953642967135	4.525466774067285	6.763994604793024
spa-x-bible-reinavaleracontemporanea.txt.clean.txt.measures.txt	0.0	4.807700269100646	3000.0	8.94913626375994	4.807700269100646	8.94675017062205
swh-x-bible-union1997.txt.clean.txt.measures.txt	0.0	4.390801493882391	4000.0	9.996750046671336	4.390801493882391	9.996750046671336
tgl-x-bible-1996.txt.clean.txt.measures.txt	0.0	4.343692691670558	2000.0	8.722973883397646	4.343692691670558	8.693524752423738
tha-x-bible-standard2011.txt.clean.txt.measures.txt	0.0	5.794602374125883	2000.0	8.565050234940678	5.794602374125883	8.525185790642716
