file	merge	types	tokens	TTR	H	Hcross	R
khk-x-bible.txt.clean.txt	0	44	105761	0.0004160323748829909	4.690457408050325	6.908964541996644	0.1408524301251184
khk-x-bible.txt.clean.txt	1000	1033	33698	0.03065463825746335	9.24114876386241	10.720892818782401	0.07705030504320665
khk-x-bible.txt.clean.txt	2000	1963	27670	0.07094325984821107	9.894180319358377	11.740956904560175	0.09550041068504012
khk-x-bible.txt.clean.txt	3000	2815	24980	0.11269015212169736	10.135127848175246	12.402397786491756	0.11552497533863526
khk-x-bible.txt.clean.txt	4000	3394	23520	0.14430272108843537	10.239220736676035	12.714254185999557	0.12699967728713102
khk-x-bible.txt.clean.txt	5000	3394	23520	0.14430272108843537	10.239220736676035	12.714254185999557	0.12699967728713102
khk-x-bible.txt.clean.txt	6000	3394	23520	0.14430272108843537	10.239220736676035	12.714254185999557	0.12699967728713102
khk-x-bible.txt.clean.txt	7000	3394	23520	0.14430272108843537	10.239220736676035	12.714254185999557	0.12699967728713102
khk-x-bible.txt.clean.txt	8000	3394	23520	0.14430272108843537	10.239220736676035	12.714254185999557	0.12699967728713102
khk-x-bible.txt.clean.txt	9000	3394	23520	0.14430272108843537	10.239220736676035	12.714254185999557	0.12699967728713102
khk-x-bible.txt.clean.txt	10000	3394	23520	0.14430272108843537	10.239220736676035	12.714254185999557	0.12699967728713102
