file	merge_min	min_entropy	merge_max	max_entropy	initial_entropy	final_entropy
aey-x-bible.txt.clean.txt.measures.tsv	350.0	7.997554355397088	3050.0	9.275270103719878	7.997554355397088	9.274909419363066
amp-x-bible.txt.clean.txt.measures.tsv	350.0	7.981074787338335	4700.0	10.09217532169609	7.981074787338335	10.09217532169609
ape-x-bible.txt.clean.txt.measures.tsv	350.0	7.901451622986011	3000.0	9.20540211818361	7.901451622986011	9.196135062691468
apu-x-bible.txt.clean.txt.measures.tsv	350.0	7.898357072255659	3850.0	9.791225399104112	7.898357072255659	9.791225399104112
arn-x-bible.txt.clean.txt.measures.tsv	350.0	7.882882967949367	2750.0	8.689546660718522	7.882882967949367	8.682361526670757
arz-x-bible.txt.clean.txt.measures.tsv	350.0	8.14854578248524	4850.0	10.851441450564089	8.14854578248524	10.851441450564089
bsn-x-bible.txt.clean.txt.measures.tsv	350.0	8.025174093055293	3300.0	9.141730583944838	8.025174093055293	9.130727198982608
cha-x-bible-2003.txt.clean.txt.measures.tsv	350.0	7.820409665503581	2550.0	8.87426289520506	7.820409665503581	8.850395974695545
deu-x-bible-neue.txt.clean.txt.measures.tsv	350.0	7.9916341242127045	3200.0	9.426011441833738	7.9916341242127045	9.423723323650835
dgz-x-bible.txt.clean.txt.measures.tsv	350.0	7.950643432234099	2400.0	9.101766644561307	7.950643432234099	9.099528847096032
ell-x-bible-modern2009.txt.clean.txt.measures.tsv	350.0	7.834044128985228	3800.0	9.392966826893732	7.834044128985228	9.387856214982916
eng-x-bible-kingjames.txt.clean.txt.measures.tsv	350.0	7.8417182519607085	1550.0	8.464268644198363	7.8417182519607085	8.376184147895929
eus-x-bible-batua.txt.clean.txt.measures.tsv	350.0	7.993485009814422	3850.0	10.21439887901446	7.993485009814422	10.21439887901446
fij-x-bible-1974.txt.clean.txt.measures.tsv	350.0	7.186330372191347	900.0	7.334595604518407	7.186330372191347	7.259164733044718
fin-x-bible-1992.txt.clean.txt.measures.tsv	350.0	8.021010791243288	4450.0	10.48489518969468	8.021010791243288	10.48489518969468
fra-x-bible-perret.txt.clean.txt.measures.tsv	350.0	7.931222139733179	3150.0	9.17885754876576	7.931222139733179	9.169869790025878
gug-x-bible.txt.clean.txt.measures.tsv	350.0	8.018629653351777	3150.0	9.554151092918492	8.018629653351777	9.552146052437184
hae-x-bible.txt.clean.txt.measures.tsv	350.0	7.945051123485551	3650.0	10.051048985153573	7.945051123485551	10.051048985153573
hau-x-bible.txt.clean.txt.measures.tsv	350.0	7.779105855525015	2200.0	8.552704205462986	7.779105855525015	8.545678128727584
hin-x-bible-bsi.txt.clean.txt.measures.tsv	350.0	8.021227189988183	2050.0	8.72261119099088	8.021227189988183	8.699520102608535
ind-x-bible-suciinjil.txt.clean.txt.measures.tsv	350.0	7.931463909373847	2800.0	9.214842777867013	7.931463909373847	9.182080650403412
jac-x-bible.txt.clean.txt.measures.tsv	350.0	7.857996407243497	2350.0	8.698363671554828	7.857996407243497	8.665095442444823
kal-x-bible.txt.clean.txt.measures.tsv	350.0	8.03777945828348	5000.0	11.406608641072063	8.03777945828348	11.406608641072063
kat-x-bible.txt.clean.txt.measures.tsv	350.0	7.835924406706724	4200.0	9.78800859118497	7.835924406706724	9.78800859118497
kew-x-bible.txt.clean.txt.measures.tsv	350.0	8.065833908899318	2400.0	9.163221444730803	8.065833908899318	9.161910273851479
