file	merge	types	tokens	TTR	H	Hcross	R
cha-x-bible-2003.txt.clean.txt	0	52	117930	0.0004409395404053252	4.73212056270015	8.380545401208728	0.16986744941085175
cha-x-bible-2003.txt.clean.txt	1000	997	37426	0.02663923475658633	8.564263243861763	11.089093940658525	0.14025934913089388
cha-x-bible-2003.txt.clean.txt	2000	1829	31487	0.05808746466795821	8.842771828733076	12.167040424611967	0.18400822092299407
cha-x-bible-2003.txt.clean.txt	3000	2521	28893	0.08725296784688333	8.864986506466135	12.80407336833687	0.21547267376775459
cha-x-bible-2003.txt.clean.txt	4000	2826	27897	0.10130121518442843	8.850395974695545	13.023871340551405	0.22802035358114825
cha-x-bible-2003.txt.clean.txt	5000	2826	27897	0.10130121518442843	8.850395974695545	13.023871340551405	0.22802035358114825
cha-x-bible-2003.txt.clean.txt	6000	2826	27897	0.10130121518442843	8.850395974695545	13.023871340551405	0.22802035358114825
cha-x-bible-2003.txt.clean.txt	7000	2826	27897	0.10130121518442843	8.850395974695545	13.023871340551405	0.22802035358114825
cha-x-bible-2003.txt.clean.txt	8000	2826	27897	0.10130121518442843	8.850395974695545	13.023871340551405	0.22802035358114825
cha-x-bible-2003.txt.clean.txt	9000	2826	27897	0.10130121518442843	8.850395974695545	13.023871340551405	0.22802035358114825
cha-x-bible-2003.txt.clean.txt	10000	2826	27897	0.10130121518442843	8.850395974695545	13.023871340551405	0.22802035358114825
