file	merge	types	tokens	TTR	H	Hcross	R
aey-x-bible.txt.clean.txt	0	61	133787	0.00045594863477019443	4.603249295558127	9.272425609817333	0.22383187223568113
aey-x-bible.txt.clean.txt	50	111	85950	0.0012914485165794066	6.091757514183866	8.314709149465589	0.10341703628213472
aey-x-bible.txt.clean.txt	100	161	71641	0.002247316480786142	6.768082546571784	8.35234462476709	0.07677543490134131
aey-x-bible.txt.clean.txt	150	211	63506	0.0033225207067048785	7.184172992143583	8.578212607516672	0.06954012420264033
aey-x-bible.txt.clean.txt	200	261	58511	0.004460699697492779	7.475408566478032	8.830963738829146	0.06882211006555383
aey-x-bible.txt.clean.txt	250	311	54894	0.005665464349473531	7.696925866815438	9.062683549810869	0.07050610619740127
aey-x-bible.txt.clean.txt	300	359	52130	0.006886629579896413	7.853473255780029	9.294858578558028	0.07473830509471724
aey-x-bible.txt.clean.txt	350	408	49849	0.00818471784790066	7.997554355397088	9.477160432592136	0.07781802205990385
aey-x-bible.txt.clean.txt	400	457	48019	0.009517066161311148	8.147357334116524	9.604267844918944	0.07794127390269046
aey-x-bible.txt.clean.txt	450	504	46522	0.010833584110743304	8.258341779629493	9.751163256751564	0.08008418474157764
aey-x-bible.txt.clean.txt	500	553	45195	0.012235866799424715	8.352933644985724	9.905194942419953	0.08321707114141264
aey-x-bible.txt.clean.txt	550	603	44042	0.013691476318060034	8.439131060167156	10.04248643851448	0.08627998129667103
aey-x-bible.txt.clean.txt	600	650	43019	0.015109602733675818	8.498719272258558	10.173498986529477	0.09049120918152287
aey-x-bible.txt.clean.txt	650	699	42099	0.016603719803320743	8.569877580358051	10.285606276339472	0.09305294032470468
aey-x-bible.txt.clean.txt	700	746	41276	0.018073456730303323	8.636571585298045	10.382369831173857	0.09498660929047897
aey-x-bible.txt.clean.txt	750	793	40524	0.019568650676142534	8.68869529395126	10.484540213965104	0.0978573809101082
aey-x-bible.txt.clean.txt	800	837	39843	0.021007454257962504	8.729620762189358	10.58660013392932	0.10088109952196445
aey-x-bible.txt.clean.txt	850	886	39220	0.022590515043345232	8.77356027163161	10.684106594746757	0.10393072084551813
aey-x-bible.txt.clean.txt	900	934	38650	0.024165588615782666	8.815376001560235	10.769836002103359	0.10660515081186184
aey-x-bible.txt.clean.txt	950	982	38127	0.025756025913394705	8.857439625112725	10.847701191832888	0.10887177071273813
aey-x-bible.txt.clean.txt	1000	1030	37662	0.027348521055706017	8.886385326711666	10.935370999219666	0.11210983639175731
aey-x-bible.txt.clean.txt	1050	1079	37218	0.02899134827234134	8.92071335858428	11.014320445210036	0.11461150122695807
aey-x-bible.txt.clean.txt	1100	1125	36818	0.030555706447933074	8.946003846348834	11.091927579628578	0.11737762066504787
aey-x-bible.txt.clean.txt	1150	1169	36447	0.03207397042280572	8.966543927842816	11.167123136746714	0.12015584061593687
aey-x-bible.txt.clean.txt	1200	1218	36097	0.03374241626727983	8.994812561268791	11.232369400484917	0.12248285907894374
aey-x-bible.txt.clean.txt	1250	1263	35766	0.035312866968629425	9.012868667308986	11.301954269304554	0.12518833922255035
aey-x-bible.txt.clean.txt	1300	1311	35466	0.03696498054474708	9.033188600104474	11.375204407751212	0.1277718830659481
aey-x-bible.txt.clean.txt	1350	1352	35166	0.03844622646874822	9.049620999364102	11.429904114421289	0.12991770986253182
aey-x-bible.txt.clean.txt	1400	1395	34883	0.03999082647708053	9.065719436521412	11.489249521338827	0.13213894712269125
aey-x-bible.txt.clean.txt	1450	1439	34633	0.0415499667946756	9.08004661092452	11.547945032461811	0.134479489070208
aey-x-bible.txt.clean.txt	1500	1482	34383	0.04310269609981677	9.091799140674038	11.607471552786851	0.1368542168779362
aey-x-bible.txt.clean.txt	1550	1529	34133	0.044795359329680956	9.109029517814355	11.663499747528311	0.1389006812689102
aey-x-bible.txt.clean.txt	1600	1573	33923	0.04636971965922825	9.12106455780354	11.718165050406514	0.14108632213454908
aey-x-bible.txt.clean.txt	1650	1614	33723	0.047860510630726806	9.128281618307483	11.772242242172984	0.14340111853425674
aey-x-bible.txt.clean.txt	1700	1658	33523	0.04945858067595382	9.14036239922293	11.821598724054958	0.1453794019066581
aey-x-bible.txt.clean.txt	1750	1704	33323	0.05113585211415539	9.155201829348227	11.867876509919975	0.14714024382192648
aey-x-bible.txt.clean.txt	1800	1745	33123	0.05268242610874619	9.166457068993218	11.91026439141128	0.1488116415073606
aey-x-bible.txt.clean.txt	1850	1790	32950	0.0543247344461305	9.174455984813713	11.964093174411428	0.15096488558664
aey-x-bible.txt.clean.txt	1900	1832	32800	0.05585365853658537	9.181993900965782	12.012395673078931	0.15289037087309165
aey-x-bible.txt.clean.txt	1950	1877	32650	0.057488514548238896	9.189441829157154	12.061897638820607	0.15493269405064514
aey-x-bible.txt.clean.txt	2000	1923	32500	0.05916923076923077	9.200273402138702	12.106823238482448	0.15664563548077126
aey-x-bible.txt.clean.txt	2050	1965	32350	0.060741885625966	9.206983490673759	12.149329410460052	0.1584351390918436
aey-x-bible.txt.clean.txt	2100	2005	32200	0.06226708074534162	9.21520862338777	12.182406317249846	0.15991577054391737
aey-x-bible.txt.clean.txt	2150	2050	32050	0.06396255850234009	9.224092608138807	12.220295122143668	0.16155346250672364
aey-x-bible.txt.clean.txt	2200	2094	31900	0.06564263322884012	9.229275447731068	12.260985592986728	0.1634121471051303
aey-x-bible.txt.clean.txt	2250	2132	31761	0.06712634992600988	9.233940372673125	12.294640934759354	0.1649532207852762
aey-x-bible.txt.clean.txt	2300	2171	31661	0.0685701651874546	9.238161350925438	12.33456379207012	0.16654264487377934
aey-x-bible.txt.clean.txt	2350	2213	31561	0.07011818383447926	9.242371285835107	12.376840355023944	0.16823723548487524
aey-x-bible.txt.clean.txt	2400	2253	31461	0.07161247258510536	9.245957901150621	12.416702649416177	0.1698452386757442
aey-x-bible.txt.clean.txt	2450	2294	31361	0.07314817767290584	9.248110600013398	12.459547711407714	0.1715871719011215
aey-x-bible.txt.clean.txt	2500	2337	31261	0.07475768529477624	9.251183200485986	12.499068343567771	0.17329599805278917
aey-x-bible.txt.clean.txt	2550	2376	31161	0.07624915760084722	9.253418559390084	12.53458636344827	0.17485685401742546
aey-x-bible.txt.clean.txt	2600	2417	31061	0.07781462283892984	9.257849597349336	12.568000976191039	0.1762747442447341
aey-x-bible.txt.clean.txt	2650	2455	30961	0.07929330447982946	9.259408373682334	12.602450460232834	0.17778250109412597
aey-x-bible.txt.clean.txt	2700	2496	30861	0.0808787790415087	9.26168653887139	12.636583085142957	0.17932153774798132
aey-x-bible.txt.clean.txt	2750	2538	30761	0.08250707064139658	9.263496302906695	12.672723715670069	0.18090846887349665
aey-x-bible.txt.clean.txt	2800	2571	30661	0.08385245099637977	9.264170423607448	12.698264760643099	0.18219656779470572
aey-x-bible.txt.clean.txt	2850	2609	30561	0.08537024312031674	9.265984355147769	12.726600099656123	0.18356200993415284
aey-x-bible.txt.clean.txt	2900	2651	30461	0.08702931617478087	9.26920642380231	12.755601812581805	0.18493274498771817
aey-x-bible.txt.clean.txt	2950	2691	30361	0.08863344422120484	9.271025388688718	12.783341428128352	0.18631867198955598
aey-x-bible.txt.clean.txt	3000	2733	30261	0.09031426588678497	9.275111486867148	12.810457136506429	0.18755322934474716
aey-x-bible.txt.clean.txt	3050	2769	30161	0.09180730081893837	9.275270103719878	12.836566506751259	0.1888807195023049
aey-x-bible.txt.clean.txt	3100	2806	30061	0.09334353481254781	9.274579476959124	12.862360142086642	0.190297089397244
aey-x-bible.txt.clean.txt	3150	2817	30023	0.09382806515005163	9.274909419363066	12.870052628768928	0.19066711477139664
aey-x-bible.txt.clean.txt	3200	2817	30023	0.09382806515005163	9.274909419363066	12.870052628768928	0.19066711477139664
aey-x-bible.txt.clean.txt	3250	2817	30023	0.09382806515005163	9.274909419363066	12.870052628768928	0.19066711477139664
aey-x-bible.txt.clean.txt	3300	2817	30023	0.09382806515005163	9.274909419363066	12.870052628768928	0.19066711477139664
aey-x-bible.txt.clean.txt	3350	2817	30023	0.09382806515005163	9.274909419363066	12.870052628768928	0.19066711477139664
aey-x-bible.txt.clean.txt	3400	2817	30023	0.09382806515005163	9.274909419363066	12.870052628768928	0.19066711477139664
aey-x-bible.txt.clean.txt	3450	2817	30023	0.09382806515005163	9.274909419363066	12.870052628768928	0.19066711477139664
aey-x-bible.txt.clean.txt	3500	2817	30023	0.09382806515005163	9.274909419363066	12.870052628768928	0.19066711477139664
aey-x-bible.txt.clean.txt	3550	2817	30023	0.09382806515005163	9.274909419363066	12.870052628768928	0.19066711477139664
