merge	sd_entropies	sd_ttrs	sd_crossentropies	sd_rs
400.0	0.3239355187255243	0.0057737921543189975	0.3464650316113688	0.02783034668687707
450.0	0.3460112993880967	0.006067196840319954	0.3308990477239691	0.030296168933852605
500.0	0.36449992210370497	0.006277959921314103	0.31659872499533537	0.03231484152707196
550.0	0.3839360516780685	0.006500145838002374	0.3059345067475581	0.03422210806247918
600.0	0.40173746734663646	0.006712242913873168	0.29847269462865533	0.03612647854350755
650.0	0.4216323422743056	0.0069323056101651525	0.2949176218979359	0.037990023844427595
700.0	0.4386491084014871	0.007162667749123625	0.2876684435145597	0.039342612331028176
750.0	0.4560475733741843	0.007402795536335861	0.286724250387478	0.04089225078380455
800.0	0.47212977450531646	0.007655703890403246	0.2857270164638882	0.0422647838801664
850.0	0.4891636750955065	0.007921562514894842	0.2840942675329303	0.04349488917871407
900.0	0.5053297017336218	0.008159757168213126	0.28611137907917294	0.044823422178665535
950.0	0.5212614967001508	0.008418785013187248	0.29076754182723896	0.04612814955339188
1000.0	0.5361960709139815	0.00865271667500193	0.29300715983322717	0.04724236942294279
1050.0	0.5511417211246159	0.008926593223576673	0.2949526953756804	0.04827516703207707
1100.0	0.5649087257351981	0.009196923516199416	0.29555964058319434	0.049154438603842006
1150.0	0.5781759639205453	0.009476396858972731	0.29904793309751687	0.05009775083285784
1200.0	0.591074485988355	0.009759153860164932	0.29657185321230045	0.05078404431521403
1250.0	0.6035332581386907	0.010079272332060973	0.29369617409390764	0.051451672129385714
1300.0	0.6153914398182411	0.010391830911936403	0.29072882782196485	0.05199915046579864
1350.0	0.6262833027911189	0.01071349150629498	0.28960901357456265	0.05259245656623867
1400.0	0.6376064558657277	0.011020899219317409	0.28954571060683415	0.05322511325996948
1450.0	0.647268955873107	0.01131505133438486	0.2892285521465731	0.05375284186756448
1500.0	0.6577242925287803	0.01165584431415521	0.28821362700341335	0.054247690660375054
1550.0	0.6677580136281333	0.011984536592578358	0.2890349560260172	0.054774664695378145
1600.0	0.6781926190238691	0.012323452127185386	0.29153975048002456	0.05534907062412729
1650.0	0.6876299714908516	0.012673013782691473	0.29369903832004435	0.05585644635583242
1700.0	0.697167880833837	0.013037707055604811	0.2945984310053767	0.05634350969464583
1750.0	0.7074328397692407	0.013403136340042242	0.29760591314614715	0.056951798106798165
1800.0	0.7168817034966344	0.013767962356105454	0.29943199127474085	0.057461678353115095
1850.0	0.7258732064030163	0.014161720460281762	0.2979440600979664	0.057804478216605545
1900.0	0.7338840144978344	0.014508381658078265	0.29671787814603695	0.05813064564396947
1950.0	0.7419269879681639	0.014907455776988128	0.2957611498290392	0.05840470332424608
2000.0	0.7491534092017372	0.015275294212488478	0.2946815524071952	0.058609689670316226
2050.0	0.7569049951279772	0.015684272732716647	0.29446780362746716	0.058855765858956965
2100.0	0.7644807420844354	0.016149906205540465	0.2938559202847163	0.0590879226245171
2150.0	0.7714505123251157	0.016633516694443982	0.2925446216609372	0.05926294788686021
2200.0	0.7788944262005536	0.01709625068625471	0.2924448450008917	0.059510704937869065
2250.0	0.7860024226440222	0.01754300074282749	0.2931861347538992	0.05975347834055243
2300.0	0.7931903381858296	0.018027952535343787	0.29435479755449906	0.060006249243165125
2350.0	0.7999250213205261	0.018487350893902812	0.29432256783777067	0.06020477953844061
2400.0	0.806514322047431	0.01897319667886757	0.29482742672020545	0.06038068406626001
2450.0	0.8129255202784206	0.019490021652262834	0.29548475634471594	0.06053804653439042
2500.0	0.8190721715668555	0.019964940452014846	0.2952308837583611	0.06066814883784429
2550.0	0.8250674055649284	0.020512238186322578	0.2913990586765392	0.06068814244739275
2600.0	0.8310867806748783	0.021075949130928407	0.2872027088367317	0.060711517722121404
2650.0	0.8364991024287928	0.02169694956105518	0.28308580700604147	0.06069152743040483
2700.0	0.8417218719570716	0.02231808840342779	0.2795891854809046	0.060655575007220915
2750.0	0.8470727228597565	0.022961850227410957	0.27612180079051674	0.06063051367491712
2800.0	0.8524864021235325	0.02360139032051633	0.2733608665926891	0.060633457474140603
2850.0	0.8578722431736205	0.024240292215024047	0.2716854671156415	0.06064579341483109
2900.0	0.863209211410928	0.024889744661245515	0.2706983690286053	0.0606774178751689
2950.0	0.8689524008195186	0.02558148057856903	0.27015781116945503	0.060741268426831856
3000.0	0.8738030233891692	0.02628517797958743	0.2701335166918195	0.060756194042364875
3050.0	0.8785534477903085	0.02676320862043159	0.2698718106156911	0.06080427103280802
3100.0	0.8828347230019581	0.02723909813074837	0.26959060572871524	0.060804486064923585
3150.0	0.8867331586049065	0.027714243482052536	0.26907772247462886	0.06077357113186473
3200.0	0.8901053503638172	0.028199961491820396	0.2681093998096691	0.06069943099385639
3250.0	0.8933185932433783	0.028673332082144468	0.26770340030713147	0.060632554984738324
3300.0	0.8965634923488488	0.02920413019130681	0.26629337485340204	0.0605004501568331
3350.0	0.899509188460308	0.02975045585535359	0.26431000256516235	0.06033386040150753
3400.0	0.902277680682403	0.030281045420247184	0.2629395807387297	0.06016850222243912
3450.0	0.9049246526995448	0.03075785428323663	0.2613804315847485	0.06000144801325618
3500.0	0.907797630036697	0.031246417071151614	0.2600696879924145	0.05985228951676597
3550.0	0.9108880009173576	0.03178023379631992	0.2587582889060597	0.05970005786934629
3600.0	0.9143672840284667	0.03233871083500337	0.25772691389182845	0.059583360719267675
3650.0	0.9167666172660273	0.03285404695287822	0.25684961941288836	0.05942523434603518
