file	merge_min	min_redundancy	merge_max	max_redundancy	initial_redundancy	final_redundancy
aey-x-bible.txt.clean.txt.measures.tsv	6000.0	0.19066711477139664	6000.0	0.19066711477139664	0.19066711477139664	0.19066711477139664
amp-x-bible.txt.clean.txt.measures.tsv	6000.0	0.1620377277231232	6000.0	0.1620377277231232	0.1620377277231232	0.1620377277231232
ape-x-bible.txt.clean.txt.measures.tsv	6000.0	0.21853209608164526	6000.0	0.21853209608164526	0.21853209608164526	0.21853209608164526
apu-x-bible.txt.clean.txt.measures.tsv	6000.0	0.1624896561324043	6000.0	0.1624896561324043	0.1624896561324043	0.1624896561324043
arn-x-bible.txt.clean.txt.measures.tsv	6000.0	0.23823395505852707	6000.0	0.23823395505852707	0.23823395505852707	0.23823395505852707
arz-x-bible.txt.clean.txt.measures.tsv	6000.0	0.096136864342246	6000.0	0.096136864342246	0.096136864342246	0.096136864342246
bsn-x-bible.txt.clean.txt.measures.tsv	6000.0	0.22755661443760367	6000.0	0.22755661443760367	0.22755661443760367	0.22755661443760367
cha-x-bible-2003.txt.clean.txt.measures.tsv	6000.0	0.22802035358114825	6000.0	0.22802035358114825	0.22802035358114825	0.22802035358114825
deu-x-bible-neue.txt.clean.txt.measures.tsv	6000.0	0.18046378777644556	6000.0	0.18046378777644556	0.18046378777644556	0.18046378777644556
dgz-x-bible.txt.clean.txt.measures.tsv	6000.0	0.18374069616825572	6000.0	0.18374069616825572	0.18374069616825572	0.18374069616825572
ell-x-bible-modern2009.txt.clean.txt.measures.tsv	6000.0	0.19312344871777176	6000.0	0.19312344871777176	0.19312344871777176	0.19312344871777176
eng-x-bible-kingjames.txt.clean.txt.measures.tsv	6000.0	0.23818662271018476	6000.0	0.23818662271018476	0.23818662271018476	0.23818662271018476
eus-x-bible-batua.txt.clean.txt.measures.tsv	6000.0	0.12720111312058047	6000.0	0.12720111312058047	0.12720111312058047	0.12720111312058047
fij-x-bible-1974.txt.clean.txt.measures.tsv	6000.0	0.30617317502931674	6000.0	0.30617317502931674	0.30617317502931674	0.30617317502931674
fin-x-bible-1992.txt.clean.txt.measures.tsv	6000.0	0.12099556446808535	6000.0	0.12099556446808535	0.12099556446808535	0.12099556446808535
fra-x-bible-perret.txt.clean.txt.measures.tsv	6000.0	0.20555932870141713	6000.0	0.20555932870141713	0.20555932870141713	0.20555932870141713
gug-x-bible.txt.clean.txt.measures.tsv	6000.0	0.17170904936339493	6000.0	0.17170904936339493	0.17170904936339493	0.17170904936339493
hae-x-bible.txt.clean.txt.measures.tsv	6000.0	0.1387106841115089	6000.0	0.1387106841115089	0.1387106841115089	0.1387106841115089
hau-x-bible.txt.clean.txt.measures.tsv	6000.0	0.22381370085573404	6000.0	0.22381370085573404	0.22381370085573404	0.22381370085573404
hin-x-bible-bsi.txt.clean.txt.measures.tsv	6000.0	0.21509123212279269	6000.0	0.21509123212279269	0.21509123212279269	0.21509123212279269
ind-x-bible-suciinjil.txt.clean.txt.measures.tsv	6000.0	0.1929794208202007	6000.0	0.1929794208202007	0.1929794208202007	0.1929794208202007
jac-x-bible.txt.clean.txt.measures.tsv	6000.0	0.24306443711190395	6000.0	0.24306443711190395	0.24306443711190395	0.24306443711190395
kal-x-bible.txt.clean.txt.measures.tsv	6000.0	0.0581279557790102	6000.0	0.0581279557790102	0.0581279557790102	0.0581279557790102
kat-x-bible.txt.clean.txt.measures.tsv	6000.0	0.17074133876859465	6000.0	0.17074133876859465	0.17074133876859465	0.17074133876859465
kew-x-bible.txt.clean.txt.measures.tsv	6000.0	0.18154415972136217	6000.0	0.18154415972136217	0.18154415972136217	0.18154415972136217
khk-x-bible.txt.clean.txt.measures.tsv	6000.0	0.12699967728713102	6000.0	0.12699967728713102	0.12699967728713102	0.12699967728713102
kor-x-bible-revised.txt.clean.txt.measures.tsv	6000.0	0.08825851253985673	6000.0	0.08825851253985673	0.08825851253985673	0.08825851253985673
laj-x-bible.txt.clean.txt.measures.tsv	6000.0	0.19590715789332047	6000.0	0.19590715789332047	0.19590715789332047	0.19590715789332047
mig-x-bible.txt.clean.txt.measures.tsv	6000.0	0.2193837257326252	6000.0	0.2193837257326252	0.2193837257326252	0.2193837257326252
mya-x-bible-common.txt.clean.txt.measures.tsv	6000.0	0.11500581886570993	7000.0	0.11554485640824586	0.11500581886570993	0.11554485640824586
mzh-x-bible.txt.clean.txt.measures.tsv	6000.0	0.24989887574269753	6000.0	0.24989887574269753	0.24989887574269753	0.24989887574269753
naq-x-bible.txt.clean.txt.measures.tsv	6000.0	0.23188099776055393	6000.0	0.23188099776055393	0.23188099776055393	0.23188099776055393
pes-x-bible-2007.txt.clean.txt.measures.tsv	6000.0	0.1932628475998075	6000.0	0.1932628475998075	0.1932628475998075	0.1932628475998075
plt-x-bible-romancatholic.txt.clean.txt.measures.tsv	6000.0	0.20420995380963547	6000.0	0.20420995380963547	0.20420995380963547	0.20420995380963547
qvi-x-bible.txt.clean.txt.measures.tsv	6000.0	0.1260746543496165	6000.0	0.1260746543496165	0.1260746543496165	0.1260746543496165
rus-x-bible-kulakov.txt.clean.txt.measures.tsv	6000.0	0.15319047634499627	6000.0	0.15319047634499627	0.15319047634499627	0.15319047634499627
sag-x-bible.txt.clean.txt.measures.tsv	6000.0	0.30695982599257987	6000.0	0.30695982599257987	0.30695982599257987	0.30695982599257987
spa-x-bible-reinavaleracontemporanea.txt.clean.txt.measures.tsv	6000.0	0.21522115817385568	6000.0	0.21522115817385568	0.21522115817385568	0.21522115817385568
swh-x-bible-union1997.txt.clean.txt.measures.tsv	6000.0	0.130554977709456	6000.0	0.130554977709456	0.130554977709456	0.130554977709456
