file	merge	types	tokens	TTR	H	Hcross	R
rus-x-bible-kulakov.txt.clean.txt	0	68	95924	0.0007088945415120304	5.098827640233748	7.958240459495567	0.16240513113563904
rus-x-bible-kulakov.txt.clean.txt	50	118	73332	0.0016091201658211967	6.289429442536002	7.853891595876103	0.08618979693866913
rus-x-bible-kulakov.txt.clean.txt	100	167	64158	0.002602948969730977	6.855408985956558	8.130587963616154	0.07154881690697812
rus-x-bible-kulakov.txt.clean.txt	150	216	59180	0.003649881716796215	7.179557589021525	8.463512522185994	0.07418933066165523
rus-x-bible-kulakov.txt.clean.txt	200	261	55518	0.004701177996325516	7.441163189218246	8.71779307945622	0.07308790207587623
rus-x-bible-kulakov.txt.clean.txt	250	309	52811	0.005851053757739865	7.649443939895764	8.9626209051079	0.07520061274652201
rus-x-bible-kulakov.txt.clean.txt	300	353	50655	0.006968709900305991	7.8117095618696375	9.166141514839605	0.07701458430958763
rus-x-bible-kulakov.txt.clean.txt	350	399	48835	0.008170369611958637	7.960606255309372	9.367984318386432	0.07865965443453293
rus-x-bible-kulakov.txt.clean.txt	400	446	47288	0.009431568262561326	8.083181167758301	9.545340322886718	0.08155060736101571
rus-x-bible-kulakov.txt.clean.txt	450	490	45942	0.010665621871054808	8.180641490343108	9.712180053634434	0.08459517480953704
rus-x-bible-kulakov.txt.clean.txt	500	535	44738	0.011958514014931379	8.276114465355978	9.85356911070243	0.08686376450232025
rus-x-bible-kulakov.txt.clean.txt	550	582	43674	0.013326006319549388	8.373847517439666	9.981795714610056	0.08830036284540521
rus-x-bible-kulakov.txt.clean.txt	600	630	42704	0.014752716373173474	8.452265547134823	10.10973007253326	0.09107683897142649
rus-x-bible-kulakov.txt.clean.txt	650	678	41823	0.016211175668890323	8.533383892428274	10.220828560524634	0.09268946927857946
rus-x-bible-kulakov.txt.clean.txt	700	719	41025	0.01752589884216941	8.594814761543425	10.319284167959385	0.09431480911254131
rus-x-bible-kulakov.txt.clean.txt	750	760	40293	0.018861837043655225	8.658148743131397	10.410172426141607	0.09526861245491225
rus-x-bible-kulakov.txt.clean.txt	800	805	39620	0.020318021201413426	8.718286232466387	10.503953898841395	0.09681692217677362
rus-x-bible-kulakov.txt.clean.txt	850	849	38978	0.021781517779260094	8.777907018471044	10.581883532088789	0.09781611741779461
rus-x-bible-kulakov.txt.clean.txt	900	896	38382	0.023344275962690845	8.828152790420447	10.671743479097513	0.09984365197540113
rus-x-bible-kulakov.txt.clean.txt	950	943	37832	0.02492598858109537	8.88377927239771	10.749436015779885	0.10093342635724911
rus-x-bible-kulakov.txt.clean.txt	1000	985	37321	0.026392647571072587	8.934513177689624	10.81047892213353	0.10151536360185176
rus-x-bible-kulakov.txt.clean.txt	1050	1028	36837	0.02790672421749871	8.978529422759074	10.882762843937863	0.10265177564728378
rus-x-bible-kulakov.txt.clean.txt	1100	1077	36387	0.029598482974688763	9.028360947111354	10.95530197680873	0.10368927454409926
rus-x-bible-kulakov.txt.clean.txt	1150	1119	35962	0.031116178188087425	9.073833373911016	11.00847196822708	0.10408388015009762
rus-x-bible-kulakov.txt.clean.txt	1200	1165	35562	0.03275968730667567	9.111508143282252	11.075464907970904	0.10549715730536968
rus-x-bible-kulakov.txt.clean.txt	1250	1201	35162	0.03415619134292702	9.153044983685426	11.113571828996715	0.10527598246639502
rus-x-bible-kulakov.txt.clean.txt	1300	1248	34812	0.035849706997587036	9.189081092553463	11.179409040593251	0.10659001009199798
rus-x-bible-kulakov.txt.clean.txt	1350	1295	34462	0.03757762172828043	9.221120460429528	11.244347621245847	0.10809985677051848
rus-x-bible-kulakov.txt.clean.txt	1400	1335	34117	0.03913005246651229	9.24877636233036	11.291551360461696	0.10920627206979738
rus-x-bible-kulakov.txt.clean.txt	1450	1383	33817	0.04089659047224769	9.27587180545355	11.356614372360404	0.11096028706784478
rus-x-bible-kulakov.txt.clean.txt	1500	1430	33517	0.0426649163111257	9.30233657244277	11.417731903151356	0.11252484527225348
rus-x-bible-kulakov.txt.clean.txt	1550	1472	33217	0.04431465815696782	9.331030369323093	11.460808806950167	0.11332014689641634
rus-x-bible-kulakov.txt.clean.txt	1600	1501	32917	0.04559953823252423	9.350496484253373	11.493464406610473	0.11384050312843053
rus-x-bible-kulakov.txt.clean.txt	1650	1546	32663	0.0473318433701742	9.374941115810158	11.545655055442403	0.11509780318255958
rus-x-bible-kulakov.txt.clean.txt	1700	1594	32413	0.04917779903125289	9.401686502539063	11.596274227823276	0.11625293618820187
rus-x-bible-kulakov.txt.clean.txt	1750	1641	32163	0.05102135994776607	9.430839036472253	11.643878116647013	0.11699236194161211
rus-x-bible-kulakov.txt.clean.txt	1800	1689	31913	0.052925140224986685	9.456245920446014	11.689433102657372	0.118048234310974
rus-x-bible-kulakov.txt.clean.txt	1850	1734	31663	0.05476423585888893	9.481178318967823	11.727594382444524	0.11884044169231578
rus-x-bible-kulakov.txt.clean.txt	1900	1762	31419	0.05608071549062669	9.498770581657702	11.752774735678024	0.11909745345226097
rus-x-bible-kulakov.txt.clean.txt	1950	1811	31219	0.058009545469105354	9.524763166712901	11.79595870314753	0.11991676326347733
rus-x-bible-kulakov.txt.clean.txt	2000	1857	31019	0.059866533415003705	9.547667631386087	11.836643241664657	0.120740369799483
rus-x-bible-kulakov.txt.clean.txt	2050	1902	30819	0.061715175703299915	9.563467805531813	11.882427289455777	0.12207811576328365
rus-x-bible-kulakov.txt.clean.txt	2100	1948	30619	0.06362062771481759	9.583567486969146	11.923884462129003	0.1230085823282091
rus-x-bible-kulakov.txt.clean.txt	2150	1987	30419	0.06532101646996942	9.602865169731096	11.95282213694866	0.12353637444466303
rus-x-bible-kulakov.txt.clean.txt	2200	2033	30219	0.06727555511433204	9.620344726217587	11.989134948028607	0.12457918165068038
rus-x-bible-kulakov.txt.clean.txt	2250	2073	30019	0.06905626436590159	9.642983179024549	12.011446973820934	0.12475794626834524
rus-x-bible-kulakov.txt.clean.txt	2300	2100	29829	0.07040128733782561	9.657730379199283	12.02827070165705	0.12490227879219329
rus-x-bible-kulakov.txt.clean.txt	2350	2145	29679	0.07227332457293036	9.67256573163181	12.06665513852647	0.12598049992156968
rus-x-bible-kulakov.txt.clean.txt	2400	2187	29529	0.07406278573605608	9.688598584614379	12.098938111994379	0.12673926893663978
rus-x-bible-kulakov.txt.clean.txt	2450	2230	29379	0.07590455767725246	9.69834224350443	12.136116660555583	0.12806866670672357
rus-x-bible-kulakov.txt.clean.txt	2500	2270	29229	0.07766259536761436	9.713853295879932	12.161394523070276	0.12868334751599197
rus-x-bible-kulakov.txt.clean.txt	2550	2311	29079	0.0794731593245985	9.725672592776537	12.194717059247658	0.12963932876935003
rus-x-bible-kulakov.txt.clean.txt	2600	2354	28929	0.08137163400048394	9.743056463806585	12.220865196824814	0.1301540343000771
rus-x-bible-kulakov.txt.clean.txt	2650	2401	28779	0.08342888912053928	9.758372404771636	12.253599562000154	0.13099940373593744
rus-x-bible-kulakov.txt.clean.txt	2700	2446	28629	0.08543784274686507	9.775242235523407	12.280532936268855	0.13156885182072164
rus-x-bible-kulakov.txt.clean.txt	2750	2488	28479	0.08736261806945468	9.78779540372194	12.308467246447023	0.13234692884299948
rus-x-bible-kulakov.txt.clean.txt	2800	2533	28329	0.08941367503265205	9.808177033883023	12.331636993167534	0.1325288036632798
rus-x-bible-kulakov.txt.clean.txt	2850	2577	28179	0.09145108059193016	9.822409024968366	12.355742737553827	0.13317485625352043
rus-x-bible-kulakov.txt.clean.txt	2900	2617	28029	0.09336758357415534	9.834453480792773	12.377168370269764	0.13381056113016465
rus-x-bible-kulakov.txt.clean.txt	2950	2633	27879	0.09444384662290613	9.840522030882855	12.384557027136696	0.13394683148227715
rus-x-bible-kulakov.txt.clean.txt	3000	2664	27753	0.09598962274348719	9.843803965547005	12.408101116963122	0.1349436104495636
rus-x-bible-kulakov.txt.clean.txt	3050	2705	27653	0.09781940476620982	9.851903657409173	12.437100151625973	0.13590501789456766
rus-x-bible-kulakov.txt.clean.txt	3100	2744	27553	0.09958988131963852	9.85391409605557	12.474033819790293	0.13729134812485244
rus-x-bible-kulakov.txt.clean.txt	3150	2782	27453	0.10133683021891961	9.86355427275614	12.497820102529747	0.13794487864155724
