file	merge	types	tokens	TTR	H	Hcross	R
hin-x-bible-bsi.txt.clean.txt	0	106	91511	0.0011583306924850564	5.661295917844301	8.436639727716042	0.15853703145307874
hin-x-bible-bsi.txt.clean.txt	50	156	69112	0.0022572056951036	6.669120819259071	8.242694907666317	0.08459126635556191
hin-x-bible-bsi.txt.clean.txt	100	204	60713	0.0033600711544479766	7.104718157391695	8.511603632122753	0.07399318458977966
hin-x-bible-bsi.txt.clean.txt	150	253	55172	0.004585659392445443	7.385338577018207	8.836383948535582	0.07486602514257801
hin-x-bible-bsi.txt.clean.txt	200	303	51380	0.005897236278707668	7.623818586533039	9.0527956821633	0.07513554829507196
hin-x-bible-bsi.txt.clean.txt	250	353	48619	0.007260536004442707	7.786205238364212	9.29018878049154	0.08002802438261103
hin-x-bible-bsi.txt.clean.txt	300	403	46521	0.008662754454977321	7.930385817671606	9.464743047930835	0.0836834973150854
hin-x-bible-bsi.txt.clean.txt	350	446	44827	0.009949360876257612	8.021227189988183	9.650582412084194	0.0885901122383157
hin-x-bible-bsi.txt.clean.txt	400	496	43397	0.011429361476599766	8.11195932578794	9.838070041226617	0.09406058962789765
hin-x-bible-bsi.txt.clean.txt	450	540	42160	0.012808349146110056	8.192801045205664	9.980535057872189	0.09739258690375896
hin-x-bible-bsi.txt.clean.txt	500	584	41067	0.014220663793313366	8.249359236059826	10.127079249946396	0.10233767976684938
hin-x-bible-bsi.txt.clean.txt	550	631	40093	0.015738408200932832	8.31256537887053	10.2609662250196	0.10631954208028083
hin-x-bible-bsi.txt.clean.txt	600	673	39238	0.017151740659564707	8.36345902078416	10.363986888424055	0.10974589046137273
hin-x-bible-bsi.txt.clean.txt	650	718	38469	0.018664379110452572	8.399105659096499	10.493996956181297	0.11475049862195619
hin-x-bible-bsi.txt.clean.txt	700	764	37770	0.020227693936987028	8.438696577245263	10.61064112630958	0.11889749025929641
hin-x-bible-bsi.txt.clean.txt	750	808	37141	0.02175493390054118	8.477193362799852	10.705189809472223	0.12228124452038303
hin-x-bible-bsi.txt.clean.txt	800	849	36577	0.023211307652349838	8.513173813856385	10.779862580254202	0.1250251126697498
hin-x-bible-bsi.txt.clean.txt	850	894	36054	0.024796139124646364	8.542507418353356	10.87112690052349	0.12868285828739257
hin-x-bible-bsi.txt.clean.txt	900	938	35572	0.026369054312380524	8.568066111341281	10.956302682524102	0.13221100826604415
hin-x-bible-bsi.txt.clean.txt	950	982	35132	0.02795172492314699	8.583848005814549	11.051267274249525	0.13639724371305972
hin-x-bible-bsi.txt.clean.txt	1000	1027	34734	0.029567570680025336	8.607504908462221	11.132811986484398	0.13961263274418823
hin-x-bible-bsi.txt.clean.txt	1050	1071	34384	0.031148208469055375	8.62548105163661	11.214632424593564	0.1430003475254601
hin-x-bible-bsi.txt.clean.txt	1100	1109	34037	0.032582189969738815	8.63512396677875	11.286741777104966	0.1463087787425712
hin-x-bible-bsi.txt.clean.txt	1150	1149	33737	0.03405756291312209	8.643170177221469	11.362250222290156	0.14981000137843847
hin-x-bible-bsi.txt.clean.txt	1200	1191	33437	0.03561922421269851	8.655389807144134	11.429164360912923	0.15292369932658922
hin-x-bible-bsi.txt.clean.txt	1250	1223	33168	0.036872889532079116	8.660418661262131	11.488686210908092	0.15559258549899724
