file	merge	types	tokens	TTR	H	Hcross	R
khk-x-bible.txt.clean.txt	0	44	105761	0.0004160323748829909	4.690457408050325	6.908964541996644	0.1408524301251184
khk-x-bible.txt.clean.txt	50	94	73852	0.0012728159020744191	6.142485259704767	7.171967847565403	0.06287253118361402
khk-x-bible.txt.clean.txt	100	144	63385	0.0022718308748126527	6.729325544237942	7.7446599874964726	0.06145105522243799
khk-x-bible.txt.clean.txt	150	194	57582	0.003369108401931159	7.10740947787802	8.20093873257136	0.06480381743001318
khk-x-bible.txt.clean.txt	200	244	53609	0.004551474565837826	7.4095327529774275	8.529951347458955	0.0657195620534351
khk-x-bible.txt.clean.txt	250	294	50549	0.0058161387960197035	7.656408767298911	8.783958208016369	0.06625430318317116
khk-x-bible.txt.clean.txt	300	344	48053	0.007158762200070755	7.86046742583205	9.033903079545963	0.06714687294323574
khk-x-bible.txt.clean.txt	350	394	45999	0.008565403595730343	8.040476720644214	9.233389015153977	0.06745205329197723
khk-x-bible.txt.clean.txt	400	444	44258	0.010032084594875503	8.199442468075537	9.424879892386574	0.0676535437164284
khk-x-bible.txt.clean.txt	450	492	42760	0.011506080449017774	8.319327915500208	9.589898527502363	0.0696880714553999
khk-x-bible.txt.clean.txt	500	542	41452	0.013075364276753836	8.434786713333887	9.747968833280456	0.07127854047234194
khk-x-bible.txt.clean.txt	550	591	40295	0.014666832113165405	8.547539879742354	9.878493563759037	0.0716273938001718
khk-x-bible.txt.clean.txt	600	641	39256	0.01632871408192378	8.656942113206432	9.99093213737005	0.07156000788233052
khk-x-bible.txt.clean.txt	650	690	38325	0.018003913894324854	8.754942769733375	10.095747438532516	0.07163068561464248
khk-x-bible.txt.clean.txt	700	739	37484	0.019715078433464945	8.842304493709074	10.196563400237427	0.07210567898394682
khk-x-bible.txt.clean.txt	750	786	36707	0.021412809545863186	8.926081744581174	10.285675302391189	0.07197712729593386
khk-x-bible.txt.clean.txt	800	836	35993	0.02322673853249243	8.994624134819384	10.393300222727516	0.07342213135043629
khk-x-bible.txt.clean.txt	850	886	35342	0.02506932261898025	9.06639081420934	10.47823041284228	0.07402308414181025
khk-x-bible.txt.clean.txt	900	935	34749	0.02690724912947135	9.127929953612561	10.563732164354793	0.07507406248823056
khk-x-bible.txt.clean.txt	950	984	34199	0.028772771133658878	9.18647417492002	10.642732205447572	0.07604115940823797
khk-x-bible.txt.clean.txt	1000	1033	33698	0.03065463825746335	9.24114876386241	10.720892818782401	0.07705030504320665
khk-x-bible.txt.clean.txt	1050	1082	33220	0.032570740517760384	9.290248383783407	10.798016603061196	0.07830126409931093
khk-x-bible.txt.clean.txt	1100	1130	32770	0.034482758620689655	9.345472126119043	10.85751841454747	0.07854728082464002
khk-x-bible.txt.clean.txt	1150	1178	32351	0.03641309387654168	9.391374584283174	10.919814762720334	0.07946867275356051
khk-x-bible.txt.clean.txt	1200	1226	31951	0.038371255985728145	9.43850172110486	10.977037319057837	0.08004503830932053
khk-x-bible.txt.clean.txt	1250	1274	31565	0.04036115951211785	9.478883853995544	11.039571078350052	0.08107160281230419
khk-x-bible.txt.clean.txt	1300	1323	31215	0.042383469485824124	9.51684362853909	11.103091336960748	0.0822359527822566
khk-x-bible.txt.clean.txt	1350	1370	30865	0.04438684594200551	9.559750678170856	11.15252415538011	0.08255401028362652
khk-x-bible.txt.clean.txt	1400	1416	30543	0.04636086828405854	9.589167843679022	11.209935687628775	0.08391964162205268
khk-x-bible.txt.clean.txt	1450	1462	30243	0.04834176503653738	9.615433440168747	11.269570260003777	0.08544012079307761
khk-x-bible.txt.clean.txt	1500	1504	29943	0.05022876799251912	9.645748435892239	11.310748827384362	0.08610855700370934
khk-x-bible.txt.clean.txt	1550	1551	29674	0.05226797870189391	9.67359686898208	11.361542021553216	0.08730895262147487
