file	merge_min	min_entropy	merge_max	max_entropy	initial_entropy	final_entropy
aey-x-bible.txt.clean.txt.measures.txt	0.0	4.603249295558127	350.0	7.997554355397088	4.603249295558127	7.997554355397088
amp-x-bible.txt.clean.txt.measures.txt	0.0	4.658089533845558	349.0	7.9818826378297025	4.658089533845558	7.981074787338335
ape-x-bible.txt.clean.txt.measures.txt	0.0	4.548276465557102	350.0	7.901451622986011	4.548276465557102	7.901451622986011
apu-x-bible.txt.clean.txt.measures.txt	0.0	4.014449045714273	350.0	7.898357072255659	4.014449045714273	7.898357072255659
arn-x-bible.txt.clean.txt.measures.txt	0.0	4.800351751313336	350.0	7.882882967949367	4.800351751313336	7.882882967949367
arz-x-bible.txt.clean.txt.measures.txt	0.0	4.863989008912507	350.0	8.14854578248524	4.863989008912507	8.14854578248524
bsn-x-bible.txt.clean.txt.measures.txt	0.0	4.78330748698972	350.0	8.025174093055293	4.78330748698972	8.025174093055293
cha-x-bible-2003.txt.clean.txt.measures.txt	0.0	4.73212056270015	349.0	7.8204579304156185	4.73212056270015	7.820409665503581
deu-x-bible-neue.txt.clean.txt.measures.txt	0.0	4.751885101115926	350.0	7.9916341242127045	4.751885101115926	7.9916341242127045
dgz-x-bible.txt.clean.txt.measures.txt	0.0	4.319156972204873	349.0	7.9512415560770435	4.319156972204873	7.950643432234099
ell-x-bible-modern2009.txt.clean.txt.measures.txt	0.0	4.596544716203266	350.0	7.834044128985228	4.596544716203266	7.834044128985228
eng-x-bible-kingjames.txt.clean.txt.measures.txt	0.0	4.776701087114576	349.0	7.842213093999749	4.776701087114576	7.8417182519607085
eus-x-bible-batua.txt.clean.txt.measures.txt	0.0	4.420236296304452	350.0	7.993485009814422	4.420236296304452	7.993485009814422
fij-x-bible-1974.txt.clean.txt.measures.txt	0.0	4.2714164975363875	349.0	7.187563534596215	4.2714164975363875	7.186330372191347
fin-x-bible-1992.txt.clean.txt.measures.txt	0.0	4.481167320293775	350.0	8.021010791243288	4.481167320293775	8.021010791243288
fra-x-bible-perret.txt.clean.txt.measures.txt	0.0	4.835936138044709	350.0	7.931222139733179	4.835936138044709	7.931222139733179
gug-x-bible.txt.clean.txt.measures.txt	0.0	4.95843931651998	350.0	8.018629653351777	4.95843931651998	8.018629653351777
hae-x-bible.txt.clean.txt.measures.txt	0.0	4.5215074262948365	350.0	7.945051123485551	4.5215074262948365	7.945051123485551
hau-x-bible.txt.clean.txt.measures.txt	0.0	4.510632283683992	350.0	7.779105855525015	4.510632283683992	7.779105855525015
hin-x-bible-bsi.txt.clean.txt.measures.txt	0.0	5.661295917844301	350.0	8.021227189988183	5.661295917844301	8.021227189988183
ind-x-bible-suciinjil.txt.clean.txt.measures.txt	0.0	4.512688074611509	350.0	7.931463909373847	4.512688074611509	7.931463909373847
jac-x-bible.txt.clean.txt.measures.txt	0.0	4.795017842170621	350.0	7.857996407243497	4.795017842170621	7.857996407243497
kal-x-bible.txt.clean.txt.measures.txt	0.0	4.1098522502543275	350.0	8.03777945828348	4.1098522502543275	8.03777945828348
kat-x-bible.txt.clean.txt.measures.txt	0.0	4.8370730560369495	350.0	7.835924406706724	4.8370730560369495	7.835924406706724
kew-x-bible.txt.clean.txt.measures.txt	0.0	4.2737997309477676	350.0	8.065833908899318	4.2737997309477676	8.065833908899318
khk-x-bible.txt.clean.txt.measures.txt	0.0	4.690457408050325	350.0	8.040476720644214	4.690457408050325	8.040476720644214
kor-x-bible-revised.txt.clean.txt.measures.txt	0.0	7.771014166646386	350.0	9.219994793228993	7.771014166646386	9.219994793228993
laj-x-bible.txt.clean.txt.measures.txt	0.0	4.721893246900461	350.0	7.84755674087851	4.721893246900461	7.84755674087851
mig-x-bible.txt.clean.txt.measures.txt	0.0	4.989808965944332	350.0	7.879332797426247	4.989808965944332	7.879332797426247
mya-x-bible-common.txt.clean.txt.measures.txt	0.0	4.765164312074918	350.0	8.178533457897998	4.765164312074918	8.178533457897998
mzh-x-bible.txt.clean.txt.measures.txt	0.0	4.783676765397077	350.0	7.7107167894198625	4.783676765397077	7.7107167894198625
naq-x-bible.txt.clean.txt.measures.txt	0.0	5.088773983872322	350.0	7.749519523749171	5.088773983872322	7.749519523749171
pes-x-bible-2007.txt.clean.txt.measures.txt	0.0	5.076981812994999	350.0	7.920104203456228	5.076981812994999	7.920104203456228
plt-x-bible-romancatholic.txt.clean.txt.measures.txt	0.0	4.147575714512982	349.0	7.881617556162373	4.147575714512982	7.880715558210427
qvi-x-bible.txt.clean.txt.measures.txt	0.0	4.196014941536557	350.0	8.052630162137389	4.196014941536557	8.052630162137389
rus-x-bible-kulakov.txt.clean.txt.measures.txt	0.0	5.098827640233748	350.0	7.960606255309372	5.098827640233748	7.960606255309372
sag-x-bible.txt.clean.txt.measures.txt	0.0	4.525466774067285	341.0	6.9331557888744655	4.525466774067285	6.927150627300332
spa-x-bible-reinavaleracontemporanea.txt.clean.txt.measures.txt	0.0	4.807700269100646	349.0	7.805369263772245	4.807700269100646	7.803977232608185
swh-x-bible-union1997.txt.clean.txt.measures.txt	0.0	4.390801493882391	349.0	7.889240175217107	4.390801493882391	7.888788785489809
tgl-x-bible-1996.txt.clean.txt.measures.txt	0.0	4.343692691670558	349.0	7.722933785840535	4.343692691670558	7.721625652612463
tha-x-bible-standard2011.txt.clean.txt.measures.txt	0.0	5.794602374125883	350.0	8.057263311247132	5.794602374125883	8.057263311247132
tur-x-bible-2009.txt.clean.txt.measures.txt	0.0	4.985318959683238	350.0	8.151863804042979	4.985318959683238	8.151863804042979
