file	merge	types	tokens	TTR	entropy	redundancy
ape-x-bible.txt.clean.txt	350	399	71068	0.005614341194349074	7.901451622986011	0.0855060613084131
ape-x-bible.txt.clean.txt	400	449	68273	0.006576538309434183	8.028325013516517	0.08878500211497486
ape-x-bible.txt.clean.txt	450	497	65844	0.007548144098171436	8.1557168841666	0.08946924503898035
ape-x-bible.txt.clean.txt	500	545	63815	0.008540311838909347	8.241656306425494	0.0933383520541905
ape-x-bible.txt.clean.txt	550	593	62096	0.009549729451172379	8.32647298346459	0.09611659225238678
ape-x-bible.txt.clean.txt	600	641	60605	0.01057668509198911	8.40826999453977	0.0982296028588926
ape-x-bible.txt.clean.txt	650	686	59276	0.011572980632971186	8.46841738016828	0.10121426775034781
ape-x-bible.txt.clean.txt	700	735	58073	0.01265648408038159	8.530298239210452	0.10411087997114454
ape-x-bible.txt.clean.txt	750	784	56992	0.013756316676024706	8.591172348609572	0.10645537016721351
ape-x-bible.txt.clean.txt	800	830	56018	0.014816666071619836	8.64345113655574	0.1086439020063078
ape-x-bible.txt.clean.txt	850	874	55126	0.01585458767187897	8.679015610364159	0.11180218354083482
ape-x-bible.txt.clean.txt	900	919	54303	0.01692355855109294	8.725623820491618	0.113602824014012
ape-x-bible.txt.clean.txt	950	962	53535	0.017969552629121137	8.7576576943416	0.11627122307863436
ape-x-bible.txt.clean.txt	1000	1012	52837	0.019153244885213014	8.800569559263765	0.11844383216151189
ape-x-bible.txt.clean.txt	1050	1058	52195	0.020270140818086025	8.826744006899887	0.1214655971091092
ape-x-bible.txt.clean.txt	1100	1104	51595	0.02139742223083632	8.857224130146312	0.12378664482458757
ape-x-bible.txt.clean.txt	1150	1149	51031	0.022515725735337343	8.878320669217446	0.12667929905895814
ape-x-bible.txt.clean.txt	1200	1194	50498	0.023644500772307814	8.899560129368181	0.12933676308900244
ape-x-bible.txt.clean.txt	1250	1238	49998	0.024760990439617585	8.919332425410442	0.13183668691125316
ape-x-bible.txt.clean.txt	1300	1285	49520	0.025949111470113084	8.943859024207153	0.13398078591902285
ape-x-bible.txt.clean.txt	1350	1330	49070	0.02710413694721826	8.963107041498132	0.13627009732040896
ape-x-bible.txt.clean.txt	1400	1378	48662	0.028317783897086023	8.982455198836714	0.138651230866782
ape-x-bible.txt.clean.txt	1450	1424	48262	0.029505615183788487	9.003963202246368	0.14049328750285495
ape-x-bible.txt.clean.txt	1500	1468	47893	0.030651660994299793	9.01735632252714	0.14280721255072304
ape-x-bible.txt.clean.txt	1550	1509	47543	0.03173968828218665	9.02876125133684	0.14495323219046985
ape-x-bible.txt.clean.txt	1600	1557	47193	0.03299218104379887	9.043514184481895	0.1472046026716689
