file	merge	types	tokens	TTR	entropy	redundancy
xsu-x-bible.txt.clean.txt	350	412	76191	0.005407462823693087	7.285674999281243	0.1612646569833598
xsu-x-bible.txt.clean.txt	400	459	74233	0.006183233871728207	7.339162167484016	0.1699987127347239
xsu-x-bible.txt.clean.txt	450	502	72605	0.0069141243715997525	7.378113903124083	0.1776093089494054
xsu-x-bible.txt.clean.txt	500	551	71268	0.007731380142560476	7.413087819168755	0.18590354689035082
xsu-x-bible.txt.clean.txt	550	595	70120	0.008485453508271535	7.432459000638961	0.1935918473839442
xsu-x-bible.txt.clean.txt	600	642	69134	0.009286313536031475	7.458541739833754	0.2002789759862208
xsu-x-bible.txt.clean.txt	650	682	68273	0.009989307632592679	7.46891597076327	0.20658474850752828
xsu-x-bible.txt.clean.txt	700	727	67505	0.010769572624250056	7.489180149898049	0.21214721042834206
xsu-x-bible.txt.clean.txt	750	776	66832	0.011611204213550394	7.500739674652244	0.21866585687215812
xsu-x-bible.txt.clean.txt	800	823	66224	0.012427518724329548	7.516415560659105	0.22389151693522447
xsu-x-bible.txt.clean.txt	850	871	65672	0.013262882202460713	7.526193537096022	0.2293891097307209
xsu-x-bible.txt.clean.txt	900	920	65172	0.014116491744921132	7.534854919906253	0.23468970250155174
xsu-x-bible.txt.clean.txt	950	969	64715	0.014973344665069922	7.541981407859268	0.23974665843237275
xsu-x-bible.txt.clean.txt	1000	1015	64291	0.015787590798089935	7.546525142837679	0.24438513553707097
xsu-x-bible.txt.clean.txt	1050	1060	63892	0.016590496462780942	7.552589545209994	0.24848722763857933
xsu-x-bible.txt.clean.txt	1100	1108	63542	0.017437285574895343	7.557215037692789	0.2527775660465622
xsu-x-bible.txt.clean.txt	1150	1151	63203	0.01821116086261728	7.5604778771080206	0.2564931006452079
xsu-x-bible.txt.clean.txt	1200	1194	62903	0.018981606600639078	7.558821778266206	0.26050409896316695
xsu-x-bible.txt.clean.txt	1250	1229	62603	0.019631647045668738	7.557484245392387	0.26363772616253967
xsu-x-bible.txt.clean.txt	1300	1273	62351	0.020416673349264648	7.558489117491801	0.26716338217362556
xsu-x-bible.txt.clean.txt	1350	1316	62101	0.021191285164490106	7.559360017857255	0.27046892137957623
xsu-x-bible.txt.clean.txt	1400	1357	61855	0.021938404332713605	7.556570259876358	0.2738399583766221
xsu-x-bible.txt.clean.txt	1450	1401	61655	0.022723217906090342	7.55690867514683	0.2770059070282852
xsu-x-bible.txt.clean.txt	1500	1436	61455	0.023366691074770157	7.55309193575241	0.2798238806661948
xsu-x-bible.txt.clean.txt	1550	1479	61255	0.024144967757734063	7.55257515172981	0.2827840721471718
