file	merge	types	tokens	TTR	entropy	redundancy
swh-x-bible-union1997.txt.clean.txt	350	380	39226	0.00968745220007138	7.888788785489809	0.07947238016228153
swh-x-bible-union1997.txt.clean.txt	400	426	37747	0.011285665085967097	8.036965242961918	0.07988180576126347
swh-x-bible-union1997.txt.clean.txt	450	475	36446	0.013032980299621357	8.166399852545602	0.08157911560648523
swh-x-bible-union1997.txt.clean.txt	500	517	35281	0.01465377965477169	8.275259942014973	0.08195682833568607
swh-x-bible-union1997.txt.clean.txt	550	567	34266	0.01654701453335668	8.402515056984665	0.08141173987771633
swh-x-bible-union1997.txt.clean.txt	600	613	33389	0.018359339902363055	8.49248841979276	0.08285919188565127
swh-x-bible-union1997.txt.clean.txt	650	660	32606	0.020241673311660432	8.575616300823626	0.08442010592157045
swh-x-bible-union1997.txt.clean.txt	700	708	31893	0.022199228670868217	8.655478609333569	0.08577954969219315
swh-x-bible-union1997.txt.clean.txt	750	751	31237	0.024042001472612606	8.712540534525582	0.0879469972645972
swh-x-bible-union1997.txt.clean.txt	800	800	30640	0.02610966057441253	8.782111824634711	0.08935682450902904
swh-x-bible-union1997.txt.clean.txt	850	847	30090	0.028148886673313393	8.857126095079684	0.08935560050322644
swh-x-bible-union1997.txt.clean.txt	900	894	29581	0.030222102024948447	8.911971281742785	0.09099834931957618
swh-x-bible-union1997.txt.clean.txt	950	943	29113	0.03239102806306461	8.979725311083978	0.09122338363654836
swh-x-bible-union1997.txt.clean.txt	1000	990	28689	0.03450799958172122	9.038729069694835	0.09170229487049364
swh-x-bible-union1997.txt.clean.txt	1050	1037	28289	0.036657357983668565	9.094004057091524	0.0922517124060086
swh-x-bible-union1997.txt.clean.txt	1100	1085	27930	0.03884711779448621	9.146134245089247	0.09295849694478653
swh-x-bible-union1997.txt.clean.txt	1150	1128	27580	0.04089920232052212	9.188380651977049	0.09380796717368756
swh-x-bible-union1997.txt.clean.txt	1200	1169	27253	0.042894360253917	9.231464138612056	0.09416048476602823
swh-x-bible-union1997.txt.clean.txt	1250	1214	26953	0.04504136830779505	9.267474930858265	0.09546364197611579
swh-x-bible-union1997.txt.clean.txt	1300	1253	26653	0.04701159344163884	9.301371154831184	0.09617948952648303
swh-x-bible-union1997.txt.clean.txt	1350	1301	26375	0.04932701421800948	9.340797992254224	0.09710661211481264
swh-x-bible-union1997.txt.clean.txt	1400	1345	26125	0.05148325358851675	9.370569089090184	0.09841075176976866
swh-x-bible-union1997.txt.clean.txt	1450	1386	25875	0.05356521739130435	9.402332234493874	0.09910969594849228
swh-x-bible-union1997.txt.clean.txt	1500	1430	25625	0.05580487804878049	9.426495836046072	0.10067962113752948
swh-x-bible-union1997.txt.clean.txt	1550	1477	25394	0.05816334567220603	9.464041110309637	0.1010986978009285
swh-x-bible-union1997.txt.clean.txt	1600	1519	25194	0.060292133047551	9.495720474435865	0.10154179291383614
swh-x-bible-union1997.txt.clean.txt	1650	1560	24994	0.062414979595102824	9.518587076001936	0.10264064618940039
swh-x-bible-union1997.txt.clean.txt	1700	1605	24794	0.06473340324272002	9.537605153274995	0.10431208946356951
swh-x-bible-union1997.txt.clean.txt	1750	1647	24594	0.06696755306172238	9.56807273432147	0.10458462861714168
swh-x-bible-union1997.txt.clean.txt	1800	1691	24394	0.06932032467000082	9.591012237905485	0.10562145822923696
swh-x-bible-union1997.txt.clean.txt	1850	1737	24194	0.07179465983301644	9.62208027995338	0.10595254420959477
