file	merge	types	tokens	TTR	entropy	redundancy
deu-x-bible-neue.txt.clean.txt	350	404	48979	0.008248433001898772	7.9916341242127045	0.07698788137330603
deu-x-bible-neue.txt.clean.txt	400	452	47227	0.009570796366485274	8.1037920201508	0.08122136130310698
deu-x-bible-neue.txt.clean.txt	450	499	45715	0.010915454446024282	8.217380915354816	0.08317792480672559
deu-x-bible-neue.txt.clean.txt	500	548	44425	0.012335396736072032	8.321359704908847	0.08536707399683607
deu-x-bible-neue.txt.clean.txt	550	595	43264	0.013752773668639053	8.394097240395785	0.08925586432092425
deu-x-bible-neue.txt.clean.txt	600	639	42210	0.015138592750533048	8.480486771087428	0.09004451433150806
deu-x-bible-neue.txt.clean.txt	650	688	41263	0.016673533189540266	8.56343184646155	0.09153497495496743
deu-x-bible-neue.txt.clean.txt	700	737	40424	0.01823174351870176	8.636178844108523	0.09336413019405665
deu-x-bible-neue.txt.clean.txt	750	784	39660	0.019768028240040342	8.69380049706977	0.09578129366109689
deu-x-bible-neue.txt.clean.txt	800	831	38951	0.021334497188775642	8.749949128422886	0.09782291253780317
deu-x-bible-neue.txt.clean.txt	850	878	38298	0.022925479137291763	8.790496372343508	0.10099948528824687
deu-x-bible-neue.txt.clean.txt	900	923	37689	0.02448990421608427	8.847276637498583	0.10181636314899489
deu-x-bible-neue.txt.clean.txt	950	970	37128	0.026125834949364362	8.892078976056792	0.10378738860545866
deu-x-bible-neue.txt.clean.txt	1000	1019	36614	0.02783088436117332	8.929692370177655	0.1063997325131214
deu-x-bible-neue.txt.clean.txt	1050	1068	36139	0.029552560945239215	8.978828456069088	0.10753405956848128
deu-x-bible-neue.txt.clean.txt	1100	1116	35689	0.031270139258595085	9.02206615030531	0.10885440104675725
deu-x-bible-neue.txt.clean.txt	1150	1163	35278	0.03296672146947106	9.05750644827981	0.11058221263912693
deu-x-bible-neue.txt.clean.txt	1200	1205	34878	0.03454899936922989	9.086062882909921	0.112239867094727
deu-x-bible-neue.txt.clean.txt	1250	1248	34520	0.03615295480880649	9.111123960468223	0.11416940566899114
deu-x-bible-neue.txt.clean.txt	1300	1295	34170	0.03789874158618672	9.140321902042214	0.11591498575702608
deu-x-bible-neue.txt.clean.txt	1350	1338	33844	0.03953433400307292	9.161640796235314	0.11787385170157227
deu-x-bible-neue.txt.clean.txt	1400	1383	33544	0.04122943000238493	9.187328564506469	0.11944665462063853
deu-x-bible-neue.txt.clean.txt	1450	1425	33244	0.04286487787269883	9.207484430903447	0.12115037897536851
deu-x-bible-neue.txt.clean.txt	1500	1465	32946	0.04446670308990469	9.227030842031287	0.12262933742851978
deu-x-bible-neue.txt.clean.txt	1550	1510	32696	0.0461830193295816	9.242131796698542	0.12482570939841098
deu-x-bible-neue.txt.clean.txt	1600	1554	32446	0.047894963940085064	9.26187475340581	0.12638417314841244
deu-x-bible-neue.txt.clean.txt	1650	1596	32196	0.049571375326127466	9.271895430472691	0.12860131641250216
deu-x-bible-neue.txt.clean.txt	1700	1642	31946	0.051399236211106245	9.29101817629278	0.13015534172068288
deu-x-bible-neue.txt.clean.txt	1750	1683	31742	0.05302123369667948	9.30068341275155	0.1321414486535223
deu-x-bible-neue.txt.clean.txt	1800	1724	31542	0.05465728235368715	9.310888564740756	0.1339952184012535
deu-x-bible-neue.txt.clean.txt	1850	1765	31342	0.056314210962925146	9.322066985443442	0.1356814178204757
deu-x-bible-neue.txt.clean.txt	1900	1808	31142	0.058056643760837454	9.336550583074413	0.13711680596913278
deu-x-bible-neue.txt.clean.txt	1950	1849	30942	0.059756964643526596	9.344163377359374	0.1389875172177838
deu-x-bible-neue.txt.clean.txt	2000	1893	30742	0.06157699564114241	9.351179962711267	0.14102646011033226
deu-x-bible-neue.txt.clean.txt	2050	1938	30563	0.06341000556228119	9.360539273712678	0.14283545617566162
deu-x-bible-neue.txt.clean.txt	2100	1979	30413	0.06507085785683754	9.36654908716848	0.14465081268669766
deu-x-bible-neue.txt.clean.txt	2150	2022	30263	0.06681426163962595	9.377435392294247	0.14607494981634217
deu-x-bible-neue.txt.clean.txt	2200	2061	30113	0.06844220104273901	9.384906871996872	0.14753410088959085
deu-x-bible-neue.txt.clean.txt	2250	2103	29963	0.07018656342822815	9.392511304548972	0.1490928674992873
deu-x-bible-neue.txt.clean.txt	2300	2140	29813	0.07178076677959279	9.397828697130679	0.15054749215047003
deu-x-bible-neue.txt.clean.txt	2350	2178	29663	0.07342480531301622	9.399671264318002	0.1523265606697486
deu-x-bible-neue.txt.clean.txt	2400	2218	29513	0.07515332226476468	9.40765282928896	0.15361080663393611
deu-x-bible-neue.txt.clean.txt	2450	2253	29363	0.0767292170418554	9.40994230090569	0.15512178528184228
deu-x-bible-neue.txt.clean.txt	2500	2293	29227	0.07845485338898964	9.417472410833488	0.15636880779008
deu-x-bible-neue.txt.clean.txt	2550	2329	29129	0.0799546843351986	9.419091253129174	0.1579191339364281
deu-x-bible-neue.txt.clean.txt	2600	2352	29029	0.08102242585001206	9.41594592758354	0.15926594656809
deu-x-bible-neue.txt.clean.txt	2650	2386	28929	0.08247779045248713	9.419336202724914	0.16051527607806293
deu-x-bible-neue.txt.clean.txt	2700	2418	28829	0.08387387699885532	9.41964003124515	0.16192379943712798
deu-x-bible-neue.txt.clean.txt	2750	2449	28729	0.08524487451703854	9.421009469929523	0.16317030840252678
deu-x-bible-neue.txt.clean.txt	2800	2479	28629	0.08659052010199449	9.419937342896642	0.16456903993399374
deu-x-bible-neue.txt.clean.txt	2850	2512	28529	0.08805075537172702	9.42246260493197	0.16575661862248692
deu-x-bible-neue.txt.clean.txt	2900	2545	28429	0.08952126349854023	9.424293559497462	0.16698322716092562
deu-x-bible-neue.txt.clean.txt	2950	2578	28329	0.0910021532705002	9.426009539568621	0.16819809931416052
deu-x-bible-neue.txt.clean.txt	3000	2614	28229	0.09259980870735768	9.42574964307236	0.169686963876999
deu-x-bible-neue.txt.clean.txt	3050	2647	28129	0.09410217213551851	9.425784514439147	0.17100559369090174
deu-x-bible-neue.txt.clean.txt	3100	2676	28029	0.09547254629134111	9.42428663763754	0.17228170286805933
