file	merge	types	tokens	TTR	entropy	redundancy
jac-x-bible.txt.clean.txt	350	398	55848	0.007126486176765506	7.857996407243497	0.09015422662321759
jac-x-bible.txt.clean.txt	400	447	53926	0.008289136965471202	7.954888548129338	0.09645954507158594
jac-x-bible.txt.clean.txt	450	492	52289	0.0094092447742355	8.049093227501675	0.09990716563044277
jac-x-bible.txt.clean.txt	500	535	50917	0.010507296187913663	8.117027263078517	0.10441648076930687
jac-x-bible.txt.clean.txt	550	581	49701	0.011689905635701495	8.173201071602572	0.10990524289863268
jac-x-bible.txt.clean.txt	600	630	48604	0.01296189614023537	8.229175810672254	0.11506702566490135
jac-x-bible.txt.clean.txt	650	678	47627	0.01423562265101728	8.281810730448008	0.11943794116135897
jac-x-bible.txt.clean.txt	700	726	46745	0.015531072842015188	8.329797650929166	0.12353215635813775
jac-x-bible.txt.clean.txt	750	774	45946	0.01684586253427937	8.361231457175002	0.1286925676077495
jac-x-bible.txt.clean.txt	800	820	45209	0.018137981375389856	8.401665383068949	0.13201274276102748
jac-x-bible.txt.clean.txt	850	869	44540	0.019510552312528066	8.432018277037942	0.13634796005270222
jac-x-bible.txt.clean.txt	900	913	43927	0.020784483347371777	8.466156842337549	0.13913449952642531
jac-x-bible.txt.clean.txt	950	959	43357	0.022118689023687063	8.489560265646375	0.14293502501764843
jac-x-bible.txt.clean.txt	1000	1005	42831	0.023464313231070955	8.508221972751254	0.14687263433156839
jac-x-bible.txt.clean.txt	1050	1048	42353	0.024744410077208227	8.525393669215307	0.15030058356864495
jac-x-bible.txt.clean.txt	1100	1094	41903	0.026107915901009474	8.545969985275505	0.15347856394541826
jac-x-bible.txt.clean.txt	1150	1139	41496	0.027448428764218238	8.556210618851026	0.15731848400134396
jac-x-bible.txt.clean.txt	1200	1184	41096	0.028810589838427096	8.577627877161556	0.15983475608606845
jac-x-bible.txt.clean.txt	1250	1229	40753	0.030157289033936153	8.58832133456878	0.16319827855076274
jac-x-bible.txt.clean.txt	1300	1270	40410	0.031427864390002475	8.599477711098636	0.16595862019032004
jac-x-bible.txt.clean.txt	1350	1319	40079	0.032910002744579454	8.618060144947389	0.16856055275907533
jac-x-bible.txt.clean.txt	1400	1365	39779	0.034314588099248346	8.625414306015859	0.17180268911436514
jac-x-bible.txt.clean.txt	1450	1411	39479	0.03574052027660275	8.640388052516576	0.17415663792523683
jac-x-bible.txt.clean.txt	1500	1449	39211	0.03695391599296116	8.643447538779956	0.1768805170176836
jac-x-bible.txt.clean.txt	1550	1490	38961	0.03824337157670491	8.6484934210873	0.1795451899668854
jac-x-bible.txt.clean.txt	1600	1530	38711	0.03952364960863837	8.65335923042922	0.1820492665607405
jac-x-bible.txt.clean.txt	1650	1576	38466	0.0409712473353091	8.662359271626311	0.1844928438628498
jac-x-bible.txt.clean.txt	1700	1618	38250	0.04230065359477124	8.667925310404183	0.18687348495513312
jac-x-bible.txt.clean.txt	1750	1660	38050	0.043626806833114325	8.6698766974997	0.18950144737404806
jac-x-bible.txt.clean.txt	1800	1699	37850	0.044887714663143986	8.672949961097498	0.19174557589576735
jac-x-bible.txt.clean.txt	1850	1736	37650	0.046108897742363875	8.675506940485985	0.1938423417684786
jac-x-bible.txt.clean.txt	1900	1776	37450	0.04742323097463284	8.680390171874553	0.19584438108093416
jac-x-bible.txt.clean.txt	1950	1818	37250	0.048805369127516776	8.688066212757468	0.19763975773306075
jac-x-bible.txt.clean.txt	2000	1861	37094	0.05016983878794414	8.691157174562138	0.19984649938816956
